iter	RMSE
0	18547025.65
1	17358131.91
2	16249127.07
3	15297486.7
4	14414865.71
5	13640994.65
6	12983506.25
7	12369718.51
8	11854069.88
9	11381665.63
10	10973336.77
11	10586736.82
12	10247059.87
13	9965850.686
14	9694453.677
15	9454116.656
16	9249035.971
17	9074792.946
18	8927027.965
19	8783328.209
20	8630451.325
21	8524865.008
22	8398795.699
23	8300608.134
24	8226490.998
25	8154338.123
26	8074686.648
27	7996973.189
28	7915130.084
29	7858446.728
30	7804231.833
31	7738198.579
32	7676837.399
33	7627809.064
34	7583094.8
35	7545785.252
36	7481139.446
37	7448066.589
38	7413442.313
39	7376456.955
40	7338619.598
41	7306205.515
42	7275311.583
43	7249798.307
44	7212989.35
45	7180911.167
46	7157511.658
47	7135015.882
48	7101003.315
49	7079155.944
50	7060524.579
51	7031686.205
52	7006728.284
53	6969981.359
54	6943574.885
55	6922388.965
56	6895374.965
57	6863377.114
58	6831995.027
59	6804288.639
60	6791223.12
61	6769290.423
62	6752890.335
63	6725013.894
64	6705578.776
65	6677633.913
66	6665922.819
67	6657268.905
68	6646116.062
69	6622560.236
70	6602306.608
71	6591020.572
72	6579028.299
73	6553013.591
74	6544857.867
75	6534728.635
76	6516439.858
77	6501953.354
78	6483588.711
79	6464368.356
80	6451305.801
81	6427484.161
82	6412560.761
83	6403437.117
84	6392404.945
85	6382262.19
86	6370843.436
87	6355182.213
88	6343862.6
89	6331106.511
90	6314944.728
91	6296890.93
92	6287064.085
93	6276272.44
94	6262915.114
95	6239613.361
96	6228198.188
97	6206907.55
98	6197673.288
99	6192179.927
100	6186630.258
101	6179291.498
102	6168926.672
103	6156742.283
104	6134975.482
105	6127516.313
106	6117206.488
107	6105058.472
108	6085514.877
109	6078062.842
110	6069105.728
111	6051624.74
112	6033048.566
113	6018819.746
114	6010928.503
115	6001794.723
116	5989378.587
117	5977165.913
118	5964751.936
119	5952996.232
120	5942401.423
121	5934702.1
122	5920047.567
123	5906367.25
124	5890681.423
125	5884799.047
126	5874609.797
127	5862876.914
128	5847924.679
129	5842536.284
130	5837464.684
131	5825629.159
132	5815489.34
133	5812165.262
134	5801174.022
135	5793659.719
136	5779931.565
137	5770920.391
138	5759428.258
139	5752534.563
140	5747179.555
141	5743111.667
142	5723332.577
143	5719290.233
144	5710128.354
145	5701026.056
146	5688924.933
147	5683525.37
